hanviet	word_1	word_2	pinyin_1	pinyin_2	meaning_1	meaning_2
thành hình	成型	成形	chéngxíng	chéngxíng	thành hình/đúng mẫu/giống như đúc/cùng một giuộc	thành hình/xếp hình/xếp thành hình dáng/tượng hình/khoa tạo hình
liên kết	连结	联结	liánjié	liánjié	liên kết/kết hợp	liên kết/nối tiếp/gắn liền
ngoại viện	外援	外院	wàiyuán	wàiyuàn	ngoại viện/viện trợ từ bên ngoài/viện trợ nước ngoài	ngoại viện
thất thủ	失手	失守	shīshǒu	shīshǒu	thất thủ/lỡ tay/sẩy tay	thất thủ/không giữ được
phật gia	佛家	佛爷	fójiā	fóyé	phật gia	Phật gia/ông Phật/Phật Thích Ca Mâu Ni
chủ công	主攻	主公	zhǔgōng	zhǔgōng	chủ công/mũi tiến công chính	chủ công
văn phong	文风	闻风	wénfēng	wénfēng	văn phong	văn phong
thủ tín	守信	取信	shǒuxìn	qǔxìn	thủ tín/giữ chữ tín	thủ tín/lấy tín nhiệm
hoa kì/hoa kỳ	花旗	花期	huāqí	huāqī	Hoa Kỳ/cờ Mỹ/Mỹ	hoa kỳ/thời kỳ ra hoa/thời kỳ nở hoa
minh chủ	盟主	明主	méngzhǔ	míngzhǔ	minh chủ	minh chủ/minh quân/anh quân
