index	chinese_rank	frequency	word	traditional	pinyin	matched	meaning
163	337	143.69	知识	知識	zhīshì	tri thức	tri thức/kiến thức/sự hiểu biết/trí thức
164	339	142.85	医院	醫院	yìyuàn	y viện	bệnh viện/y viện/nhà thương
165	340	142.48	女孩	女孩	nv̌hái	nữ hài	cô gái/nữ hài
166	341	142.33	思想	思想	sīxiǎng	tư tưởng	tư tưởng/ý nghĩ/suy nghĩ
167	342	142.19	相关	相關	xiāngguān	tương quan	tương quan/liên quan
168	344	141.67	理解	理解	lǐjiě	lý giải	lý giải/hiểu/đã thông
169	345	141.31	教师	教師	jiàoshī	giáo sư	giáo sư/giáo viên
170	350	140.19	安全	安全	ānquán	an toàn	an toàn
171	351	139.71	全部	全部	quánbù	toàn bộ	toàn bộ/tất cả
172	352	139.59	自由	自由	zìyóu	tự do	tự do
173	353	139.25	努力	努力	nǔlì	nỗ lực	cố gắng/nỗ lực/gắng sức
174	354	138.97	家庭	家庭	jiātíng	gia đình	gia đình
175	356	137.96	部分	部分	bùfēn	bộ phận	bộ phận/phần/tập/khu/phần chia/một số cá thể
176	357	137.64	表现	表現	biǎoxiàn	biểu hiện	biểu hiện/thể hiện/phô bày/tỏ ra/xử sự/cách ăn ở/cư xử/đối xử
177	358	137.51	规定	規定	gūidìng	quy định	quy định/nội dung đã định
178	359	136.99	意思	意思	yìsī	ý tứ	ý tứ/ỵ́/ý nghĩa/ý kiến/nguyện vọng/tấm lòng/thơm thảo/khao/thưởng cho/chiều hướng/xu hướng/thú vị/hứng thú
179	360	136.97	提高	提高	tígāo	đề cao	đề cao/nâng cao
180	364	136.64	时代	時代	shídài	thời đại	thời đại/thời kì/lúc/độ tuổi
181	365	136.44	完成	完成	wánchéng	hoàn thành	hoàn thành
182	366	135.89	计划	計劃	jìhuá	kế hoạch	kế hoạch/lập kế hoạch/tính toán/vạch kế hoạch
183	371	133.84	愿意	願意	yuànyì	nguyện ý	nguyện ý/mong muốn/vui lòng/bằng lòng/sẵn lòng/hi vọng
184	373	132.8	基本	基本	jīběn	cơ bản	cơ bản/căn bản/nền tảng/chính/chủ yếu/cốt lõi/đại thể
185	375	132.72	爱情	愛情	àiqíng	ái tình	tình yêu/ái tình
186	376	131.35	年代	年代	niándài	niên đại	niên đại/thời đại/thời kỳ/những năm tháng/thập kỷ/những năm
187	377	130.73	英国	英國	yīngguó	anh quốc	Anh quốc/Anh/Anh Cát Lợi/Anh Quốc/United Kingdom
188	380	129.83	结束	結束	jiéshù	kết thúc	chấm dứt/kết thúc/hết/kết liễu/thắt/tết/trang điểm
189	381	129.73	标准	標準	biāozhǔn	tiêu chuẩn	tiêu chuẩn/mẫu mực/đúng chuẩn/chuẩn mực/chuẩn/mực thước
190	382	129.11	资料	資料	zīliào	tư liệu	tư liệu/tài liệu
191	385	128.21	艺术	藝術	yìzhú	nghệ thuật	nghệ thuật/hình dáng độc đáo mỹ quan
192	387	127.91	项目	項目	xiàngmù	hạng mục	hạng mục/mục
193	392	126.47	条件	條件	tiáojiàn	điều kiện	điều kiện/đòi hỏi/tình trạng/tình hình
194	393	126.26	水平	水平	shǔipíng	thủy bình	xoay ngang/ngang mặt nước/trình độ/thủy bình/nước phẳng
195	394	126.13	建设	建設	jiànshè	kiến thiết	kiến thiết/xây dựng/xây cất/lập nên
196	395	125.94	行为	行為	xíngwèi	hành vi	hành vi/hành động
197	396	125.8	办法	辦法	bànfǎ	biện pháp	biện pháp/phương pháp/cách làm
198	398	125.31	法律	法律	fǎlv̀	pháp luật	pháp luật/luật
199	401	124.7	变成	變成	biànchéng	biến thành	biến thành/trở thành/thành ra/hoá ra/trở nên
200	405	122.89	建议	建議	jiànyì	kiến nghị	đề nghị/kiến nghị/đề xuất/đưa ra/sáng kiến
201	412	121.65	幸福	幸福	xìngfú	hạnh phúc	hạnh phúc/vừa lòng đẹp ý
202	413	120.91	教授	教授	jiàoshòu	giáo thụ	giáo thụ/giảng dạy/truyền thụ/giáo sư
203	414	120.87	产生	產生	chǎnshēng	sản sinh	sinh ra/sản sinh/nảy sinh/xuất hiện
204	423	119.04	部门	部門	bùmén	bộ môn	nghành/bộ môn/ngành/khâu/chi/nhánh
205	425	118.89	德国	德國	déguó	đức quốc	Đức/Đức quốc/Nhật Nhĩ Man/Cộng hoà liên bang Đức/Germany
206	426	118.79	广告	廣告	guǎnggào	quảng cáo	quảng cáo
207	427	118.42	说明	說明	shuōmíng	thuyết minh	thuyết minh/nói rõ/rằng/giải thích rõ/lời giải thích/lời thuyết minh/chứng minh
208	428	117.85	安排	安排	ānpái	an bài	an bài/sắp đặt/sắp xếp/bố trí/thu xếp/cách bố trí/sự trình bày/sự sắp đặt/sơ đồ bố trí/ma-két/dạng thức
209	431	117.55	小说	小說	xiǎoshuō	tiểu thuyết	tiểu thuyết
210	434	117.31	人生	人生	rénshēng	nhân sinh	nhân sinh/đời người
211	435	117.24	经历	經歷	jīnglì	kinh lịch	trải qua/kinh lịch/từng trải/những việc trải qua
212	437	116.78	大概	大概	dàgài	đại khái	đại khái/nét chính/sơ lược/sơ sơ/chung chung/có thể/có lẽ/khoảng
213	438	116.75	警察	警察	jǐngchá	cảnh sát	cảnh sát
214	444	116.14	都会	都會	dūhùi	đô hội	đô hội/đều đã/đều có thể/đô thị/thành thị
215	445	116.08	法国	法國	fǎguó	pháp quốc	Pháp quốc/Pháp/France
216	446	115.84	同样	同樣	tóngyáng	đồng dạng	đồng dạng/giống nhau/như nhau/cũng
217	448	115.09	中心	中心	zhōngxīn	trung tâm	trung tâm/giữa/ở giữa/giữa ruột
218	449	115.07	调查	調查	diàochá	điều tra	điều tra/xem xét/kiểm tra/khảo sát
219	450	114.93	经验	經驗	jīngyàn	kinh nghiệm	kinh nghiệm/trải qua/gặp qua
220	453	114.11	小姐	小姐	xiǎojiě	tiểu thư	tiểu thư/cô
221	454	113.97	改变	改變	gǎibiàn	cải biến	thay đổi/cải biến/cải biên/biến đổi/biến động/đổi
222	455	113.8	习惯	習慣	xíguàn	tập quán	thói quen/tập quán/quen nếp
223	456	113.63	传统	傳統	chuántǒng	truyền thống	truyền thống/phong tục được lưu truyền
224	460	113.33	心情	心情	xīnqíng	tâm tình	tâm tình/trong lòng
225	463	112.7	科学	科學	kēxué	khoa học	khoa học/ngành nghiên cứu/ngành học/có tính khoa học/có kỹ thuật/kỹ thuật cao
226	464	112.15	合作	合作	hézuò	hợp tác	hợp tác
227	467	112.01	明天	明天	míngtiān	minh thiên	ngày mai/mai đây/mai kia/tương lai/minh thiên
228	470	111.28	专家	專家	zhuānjiā	chuyên gia	chuyên gia/chuyên viên/nhà chuyên môn
229	471	110.95	老板	老闆	lǎobǎn	lão bản	lão bản/ông chủ/chủ rạp/chủ gánh
230	472	110.94	变化	變化	biànhuà	biến hóa	biến hóa/biến hoá/biến đổi/thay đổi
231	473	110.8	解释	解釋	jiěshì	giải thích	giải thích/giảng giải/giải nghĩa/nói rõ hàm ý/nói rõ nguyên nhân/nói rõ lí do
232	474	110.69	利用	利用	lìyòng	lợi dụng	lợi dụng/sử dụng/dùng
233	475	110.68	报告	報告	bàogào	báo cáo	báo cáo/bản báo cáo/bản phát biểu
234	476	110.28	建筑	建築	jiànzhú	kiến trúc	kiến trúc/xây dựng/xây/gầy dựng/vật kiến trúc/công trình kiến trúc/toà nhà/công trình
235	477	110.26	分析	分析	fēnxī	phân tích	phân tích
236	478	109.78	美丽	美麗	měilì	mỹ lệ	xinh đẹp/mỹ lệ/đẹp
237	481	109.56	比赛	比賽	bǐsài	bỉ tái	trận đấu/bỉ tái/thi đấu/đấu
238	483	109.33	处理	處理	chùlǐ	xử lý	xử lý/sắp xếp/giải quyết/xoay xở/khắc phục/an bài/hàng thanh lí/hàng giảm giá/xử trí/cư xử/đối đãi/soạn thảo
239	484	109.29	投资	投資	tóuzī	đầu tư	đầu tư/bỏ vốn/đầu tư vốn/vốn đầu tư/tiền bỏ ra/tiền vốn
240	486	109.13	意义	意義	yìyì	ý nghĩa	ý nghĩa/tầm quan trọng/giá trị/tác dụng
241	489	108.53	成绩	成績	chéngjī	thành tích	thành tích/thành tựu/đạt được/hoàn thành
242	491	108.46	文学	文學	wénxué	văn học	văn học/học vấn/tri thức/kiến thức
243	495	106.89	尤其	尤其	yóuqí	vưu kì	hơn nữa/vưu kì/nhất là/đặc biệt là/càng
244	498	106.28	讨论	討論	tǎolùn	thảo luận	thảo luận/bàn bạc
245	500	105.95	对方	對方	dùifāng	đối phương	đối phương/phía bên kia
246	501	105.92	感情	感情	gǎnqíng	cảm tình	cảm tình/lòng yêu mến/tình cảm yêu mến/tình cảm
247	505	105.24	改革	改革	gǎigé	cải cách	cải cách/cải tiến/đổi mới/cách tân
248	506	104.9	事件	事件	shìjiàn	sự kiện	sự kiện
249	508	104.59	姐姐	姐姐	jiějiě	tỷ tỷ	tỷ tỷ/chị gái/chị họ
250	510	104.3	生产	生產	shēngchǎn	sinh sản	sinh sản/ sản xuất/sản xuất/sanh con/sinh con
251	511	104.3	目标	目標	mùbiāo	mục tiêu	mục tiêu/đạt mục tiêu
252	513	104.14	免费	免費	miǎnfèi	miễn phí	miễn phí/không lấy tiền/không mất tiền
253	514	103.81	政策	政策	zhèngcè	chính sách	chính sách
254	516	103.35	文字	文字	wénzì	văn tự	văn tự/chữ nghĩa/chữ viết/chữ/văn/hành văn/lời văn
255	517	103.1	造成	造成	zàochéng	tạo thành	tạo thành
