chinese word ranking	frequency	word	traditional	pinyin	hanviet	meaning
319	149.76	存在	存在	cúnzài	tồn tại	tồn tại/còn/có thật/thực sự/đã sống/vật chất/sự sống/sự tồn tại/sinh kế
320	149.13	第三	第三	dìsān	đệ tam	đệ tam/thứ ba
324	148.77	根据	根據	gēnjù	căn cứ	căn cứ/căn cứ vào/dựa vào/chứng cứ/luận cứ
326	147.86	女儿	女兒	nv̌ér	nữ nhi/nữ nhân	nữ nhân/nữ nhi/con gái
327	147.73	左右	左右	zuǒyòu	tả hữu	tả hữu/hai bên/trái và phải/xung quanh/tuỳ tùng/người đi theo/chi phối/thao túng/khoảng/chừng/vào khoảng/trên dưới/dù sao cũng/dù sao đi nữa
328	147.52	生命	生命	shēngmìng	sinh mệnh	sinh mệnh/tính mệnh/mạng sống
330	147.15	代表	代表	dàibiǎo	đại biểu	đại biểu/đại diện/tiêu biểu/thay mặt
331	146.68	价格	價格	jiàgé	giới cách	giá cả/giới cách/giá
335	144.08	高兴	高興	gāoxīng	cao hứng	cao hứng/vui vẻ/vui mừng/phấn chấn/thích
336	143.89	永远	永遠	yǒngyuǎn	vĩnh viễn	vĩnh viễn/mãi mãi/luôn
337	143.69	知识	知識	zhīshì	tri thức	tri thức/kiến thức/sự hiểu biết/trí thức
339	142.85	医院	醫院	yìyuàn	y viện	bệnh viện/y viện/nhà thương
341	142.33	思想	思想	sīxiǎng	tư tưởng	tư tưởng/ý nghĩ/suy nghĩ
342	142.19	相关	相關	xiāngguān	tương quan	tương quan/liên quan
344	141.67	理解	理解	lǐjiě	lí giải/lý giải	lý giải/hiểu/đã thông
345	141.31	教师	教師	jiàoshī	giáo sư	giáo sư/giáo viên
350	140.19	安全	安全	ānquán	an toàn	an toàn
351	139.71	全部	全部	quánbù	toàn bộ	toàn bộ/tất cả
352	139.59	自由	自由	zìyóu	tự do	tự do
353	139.25	努力	努力	nǔlì	nỗ lực	cố gắng/nỗ lực/gắng sức
354	138.97	家庭	家庭	jiātíng	gia đình	gia đình
356	137.96	部分	部分	bùfēn	bộ phận	bộ phận/phần/tập/khu/phần chia/một số cá thể
357	137.64	表现	表現	biǎoxiàn	biểu hiện	biểu hiện/thể hiện/phô bày/tỏ ra/xử sự/cách ăn ở/cư xử/đối xử
358	137.51	规定	規定	gūidìng	quy định	quy định/nội dung đã định
359	136.99	意思	意思	yìsī	ý tứ	ý tứ/ỵ́/ý nghĩa/ý kiến/nguyện vọng/tấm lòng/thơm thảo/khao/thưởng cho/chiều hướng/xu hướng/thú vị/hứng thú
360	136.97	提高	提高	tígāo	đề cao	đề cao/nâng cao
364	136.64	时代	時代	shídài	thời đại	thời đại/thời kì/lúc/độ tuổi
365	136.44	完成	完成	wánchéng	hoàn thành	hoàn thành
366	135.89	计划	計劃	jìhuá	kế hoạch	kế hoạch/lập kế hoạch/tính toán/vạch kế hoạch
369	134.25	游戏	遊戲	yóuxì	du hí/du hý	trò chơi/du hý/vui chơi/nô đùa/chơi đùa
373	132.8	基本	基本	jīběn	cơ bản	cơ bản/căn bản/nền tảng/chính/chủ yếu/cốt lõi/đại thể
375	132.72	爱情	愛情	àiqíng	ái tình	tình yêu/ái tình
376	131.35	年代	年代	niándài	niên đại	niên đại/thời đại/thời kỳ/những năm tháng/thập kỷ/những năm
377	130.73	英国	英國	yīngguó	anh quốc	Anh quốc/Anh/Anh Cát Lợi/Anh Quốc/United Kingdom
380	129.83	结束	結束	jiéshù	kết thúc	chấm dứt/kết thúc/hết/kết liễu/thắt/tết/trang điểm
381	129.73	标准	標準	biāozhǔn	tiêu chuẩn	tiêu chuẩn/mẫu mực/đúng chuẩn/chuẩn mực/chuẩn/mực thước
382	129.11	资料	資料	zīliào	tư liệu	tư liệu/tài liệu
385	128.21	艺术	藝術	yìzhú	nghệ thuật	nghệ thuật/hình dáng độc đáo mỹ quan
387	127.91	项目	項目	xiàngmù	hạng mục	hạng mục/mục
392	126.47	条件	條件	tiáojiàn	điều kiện	điều kiện/đòi hỏi/tình trạng/tình hình
394	126.13	建设	建設	jiànshè	kiến thiết	kiến thiết/xây dựng/xây cất/lập nên
395	125.94	行为	行為	xíngwèi	hành vi	hành vi/hành động
396	125.8	办法	辦法	bànfǎ	biện pháp	biện pháp/phương pháp/cách làm
398	125.31	法律	法律	fǎlv̀	pháp luật	pháp luật/luật
405	122.89	建议	建議	jiànyì	kiến nghị	đề nghị/kiến nghị/đề xuất/đưa ra/sáng kiến
409	122.63	比如	比如	bǐrú	tỉ như	tỷ như/ví dụ như/thí dụ/như/chẳng hạn như
412	121.65	幸福	幸福	xìngfú	hạnh phúc	hạnh phúc/vừa lòng đẹp ý
414	120.87	产生	產生	chǎnshēng	sản sinh	sinh ra/sản sinh/nảy sinh/xuất hiện
423	119.04	部门	部門	bùmén	bộ môn	nghành/bộ môn/ngành/khâu/chi/nhánh
425	118.89	德国	德國	déguó	đức quốc	Đức/Đức quốc/Nhật Nhĩ Man/Cộng hoà liên bang Đức/Germany
426	118.79	广告	廣告	guǎnggào	quảng cáo	quảng cáo
427	118.42	说明	說明	shuōmíng	thuyết minh	thuyết minh/nói rõ/rằng/giải thích rõ/lời giải thích/lời thuyết minh/chứng minh
428	117.85	安排	安排	ānpái	an bài	an bài/sắp đặt/sắp xếp/bố trí/thu xếp/cách bố trí/sự trình bày/sự sắp đặt/sơ đồ bố trí/ma-két/dạng thức
431	117.55	小说	小說	xiǎoshuō	tiểu thuyết	tiểu thuyết
433	117.41	世纪	世紀	shìjì	thế kỉ/thế kỷ	thế kỷ/một trăm năm
434	117.31	人生	人生	rénshēng	nhân sinh	nhân sinh/đời người
437	116.78	大概	大概	dàgài	đại khái	đại khái/nét chính/sơ lược/sơ sơ/chung chung/có thể/có lẽ/khoảng
438	116.75	警察	警察	jǐngchá	cảnh sát	cảnh sát
446	115.84	同样	同樣	tóngyáng	đồng dạng	đồng dạng/giống nhau/như nhau/cũng
448	115.09	中心	中心	zhōngxīn	trung tâm	trung tâm/giữa/ở giữa/giữa ruột
449	115.07	调查	調查	diàochá	điều tra	điều tra/xem xét/kiểm tra/khảo sát
450	114.93	经验	經驗	jīngyàn	kinh nghiệm	kinh nghiệm/trải qua/gặp qua
453	114.11	小姐	小姐	xiǎojiě	tiểu thư	tiểu thư/cô
454	113.97	改变	改變	gǎibiàn	cải biến	thay đổi/cải biến/cải biên/biến đổi/biến động/đổi
455	113.8	习惯	習慣	xíguàn	tập quán	thói quen/tập quán/quen nếp
456	113.63	传统	傳統	chuántǒng	truyền thống	truyền thống/phong tục được lưu truyền
460	113.33	心情	心情	xīnqíng	tâm tình	tâm tình/trong lòng
463	112.7	科学	科學	kēxué	khoa học	khoa học/ngành nghiên cứu/ngành học/có tính khoa học/có kỹ thuật/kỹ thuật cao
464	112.15	合作	合作	hézuò	hợp tác	hợp tác
470	111.28	专家	專家	zhuānjiā	chuyên gia	chuyên gia/chuyên viên/nhà chuyên môn
472	110.94	变化	變化	biànhuà	biến hóa	biến hóa/biến hoá/biến đổi/thay đổi
473	110.8	解释	解釋	jiěshì	giải thích	giải thích/giảng giải/giải nghĩa/nói rõ hàm ý/nói rõ nguyên nhân/nói rõ lí do
474	110.69	利用	利用	lìyòng	lợi dụng	lợi dụng/sử dụng/dùng
475	110.68	报告	報告	bàogào	báo cáo	báo cáo/bản báo cáo/bản phát biểu
476	110.28	建筑	建築	jiànzhú	kiến trúc	kiến trúc/xây dựng/xây/gầy dựng/vật kiến trúc/công trình kiến trúc/toà nhà/công trình
477	110.26	分析	分析	fēnxī	phân tích	phân tích
478	109.78	美丽	美麗	měilì	mỹ lệ	xinh đẹp/mỹ lệ/đẹp
483	109.33	处理	處理	chùlǐ	xử lí/xử lý	xử lý/sắp xếp/giải quyết/xoay xở/khắc phục/an bài/hàng thanh lí/hàng giảm giá/xử trí/cư xử/đối đãi/soạn thảo
484	109.29	投资	投資	tóuzī	đầu tư	đầu tư/bỏ vốn/đầu tư vốn/vốn đầu tư/tiền bỏ ra/tiền vốn
486	109.13	意义	意義	yìyì	ý nghĩa	ý nghĩa/tầm quan trọng/giá trị/tác dụng
489	108.53	成绩	成績	chéngjī	thành tích	thành tích/thành tựu/đạt được/hoàn thành
491	108.46	文学	文學	wénxué	văn học	văn học/học vấn/tri thức/kiến thức
498	106.28	讨论	討論	tǎolùn	thảo luận	thảo luận/bàn bạc
500	105.95	对方	對方	dùifāng	đối phương	đối phương/phía bên kia
501	105.92	感情	感情	gǎnqíng	cảm tình	cảm tình/lòng yêu mến/tình cảm yêu mến/tình cảm
505	105.24	改革	改革	gǎigé	cải cách	cải cách/cải tiến/đổi mới/cách tân
506	104.9	事件	事件	shìjiàn	sự kiện	sự kiện
508	104.59	姐姐	姐姐	jiějiě	tỷ tỷ	tỷ tỷ/chị gái/chị họ
510	104.3	生产	生產	shēngchǎn	sinh sản	sinh sản/ sản xuất/sản xuất/sanh con/sinh con
511	104.3	目标	目標	mùbiāo	mục tiêu	mục tiêu/đạt mục tiêu
513	104.14	免费	免費	miǎnfèi	miễn phí	miễn phí/không lấy tiền/không mất tiền
514	103.81	政策	政策	zhèngcè	chính sách	chính sách
516	103.35	文字	文字	wénzì	văn tự	văn tự/chữ nghĩa/chữ viết/chữ/văn/hành văn/lời văn
517	103.1	造成	造成	zàochéng	tạo thành	tạo thành
518	103.04	作用	作用	zuòyòng	tác dụng	tác dụng/ảnh hưởng/hiệu quả/hiệu dụng/dụng ý
519	103.04	心理	心理	xīnlǐ	tâm lí/tâm lý	tâm lý/lòng/chỉ hoạt động tư tưởng, tình cảm của con người
521	102.93	坚持	堅持	jiānchí	kiên trì	kiên trì/giữ vững/khăng khăng giữ
526	102.17	正是	正是	zhèngshì	chính thị	đúng là/chính thị/vậy
531	101.54	加入	加入	jiārù	gia nhập	gia nhập/thêm vào/thêm/tham gia/gia nhập vào
532	101.42	不可	不可	bùkě	bất khả	không thể/bất khả/không được/không sao/không thể ... được/không ... không được/không thể không
533	101.25	大陆	大陸	dàlù	đại lục	đại lục/lục địa/Trung quốc
535	101.07	会议	會議	hùiyì	hội nghị	hội nghị/hội đồng
543	100.11	交流	交流	jiāolíu	giao lưu	trao đổi/giao lưu
544	99.93	目的	目的	mùde	mục đích	mục đích
545	99.74	民族	民族	mínzú	dân tộc	dân tộc/tộc người
546	99.71	保护	保護	bǎohù	bảo hộ	bảo hộ/bảo vệ/giữ gìn
548	99.56	妻子	妻子	qīzǐ	thê tử	thê tử/vợ con/vợ/bà xã
551	99.21	同志	同志	tóngzhì	đồng chí	đồng chí
554	98.75	控制	控制	kòngzhì	khống chế	khống chế/kiểm soát/chế ngự/kiềm chế
556	98.52	结婚	結婚	jiéhūn	kết hôn	kết hôn/đám cưới/lấy nhau/cưới xin/hôn nhân/lễ cưới/sự kết hợp
562	97.86	地址	地址	dìzhǐ	địa chỉ	địa chỉ/chỗ ở
565	97.51	保持	保持	bǎochí	bảo trì	bảo trì/gìn giữ/giữ/duy trì/giữ nguyên/giữ giàng
568	96.78	形成	形成	xíngchéng	hình thành	hình thành
569	96.78	严重	嚴重	yánzhòng	nghiêm trọng	nghiêm trọng
571	96.45	现代	現代	xiàndài	hiện đại	hiện đại/thời đại hiện nay/thời đại ngày nay/thời đại xã hội chủ nghĩa
574	95.97	欢迎	歡迎	huānyíng	hoan nghênh	hoan nghênh/chào đón/đón chào/chào mừng
575	95.79	绝对	絕對	juédùi	tuyệt đối	tuyệt đối/hoàn toàn/nhất định/toàn bộ/dứt khoát/cực kỳ/cùng cực/nhất/cực/tuyệt
576	95.73	青年	青年	qīngnián	thanh niên	thanh niên/tuổi trẻ/tuổi xuân
577	95.65	具体	具體	jùtǐ	cụ thể	cụ thể/rõ ràng/rõ rệt/tỉ mỉ/xác định rõ ràng/một cách cụ thể/cụ thể tới
578	95.61	翻译	翻譯	fānyì	phiên dịch	phiên dịch/dịch/người dịch/phiên dịch viên
581	95.52	人物	人物	rénwù	nhân vật	nhân vật
588	94.29	编辑	編輯	biānjí	biên tập	biên tập/chỉnh lý/biên soạn/biên tập viên/người biên soạn/trình biên dịch
590	94.12	方向	方向	fāngxiàng	phương hướng	phương hướng/hướng/phương/hướng đi/phía/mục tiêu
594	93.64	人类	人類	rénlèi	nhân loại	nhân loại/loài người
597	93.02	基础	基礎	jīchǔ	cơ sở	trụ cột/cơ sở/nền móng/nền tảng/căn bản/cơ sở thượng tầng
600	92.53	意见	意見	yìjiàn	ý kiến	ý kiến
607	91.2	附近	附近	fùjìn	phụ cận	phụ cận/lân cận/vùng phụ cận/vùng lân cận/gần đây
608	91.16	常常	常常	chángcháng	thường thường	thường thường/thường/luôn
609	91.14	丈夫	丈夫	zhàngfū	trượng phu	trượng phu/đàn ông/con trai/chồng
611	90.96	制度	制度	zhìdù	chế độ	chế độ/quy chế/quy định/thể lệ nhất định cho kẻ làm việc theo
612	90.96	力量	力量	lìliàng	lực lượng	lực lượng/sức lực/sức mạnh/năng lực/khả năng/tác dụng/hiệu lực
