index	chinese_rank	frequency	word	traditional	pinyin	matched	meaning
1143	3034	18.63	福建	福建	fújiàn	phúc kiến	Phúc Kiến
1153	3085	18.3	罗马	羅馬	luōmǎ	la mã	La Mã/Rô-ma/Rome
1158	3098	18.2	台北	臺北	táiběi	đài bắc	Đài Bắc/Taipei
1165	3129	17.95	山西	山西	shānxī	sơn tây	Sơn Tây/tỉnh Sơn Tây
1183	3209	17.46	埃及	埃及	āijí	ai cập	Ai Cập/Egypt
1194	3242	17.26	河北	河北	héběi	hà bắc	Hà Bắc/tỉnh Hà bắc
1268	3519	15.77	湖北	湖北	húběi	hồ bắc	Hồ Bắc
1289	3622	15.22	西北	西北	xīběi	tây bắc	tây bắc/Tây Bắc
1302	3655	15.04	菩萨	菩薩	púsà	bồ tát	Bồ Tát/Phật/thần Phật/tấm lòng Bồ tát
1344	3786	14.45	江西	江西	jiāngxī	giang tây	Giang Tây/tỉnh Giang Tây
1347	3802	14.4	希腊	希臘	xīlà	hy lạp	Hy Lạp/Greece
1396	4010	13.48	圣经	聖經	shèngjīng	thánh kinh	thánh kinh/Thánh Kinh/kinh thánh
1423	4114	13.05	美金	美金	měijīn	mỹ kim	Mĩ kim/mỹ kim/đồng đô-la Mỹ/Mỹ kim
1442	4211	12.74	西南	西南	xīnán	tây nam	tây nam/Tây Nam
1494	4483	11.79	爱尔兰	愛爾蘭	àiěrlán	ái nhĩ lan	Ai-len/Ái Nhĩ Lan/Ireland
1501	4494	11.73	土耳其	土耳其	tǔěrqí	thổ nhĩ kỳ	Thổ Nhĩ Kỳ/Turkey
1505	4512	11.63	蒙古	蒙古	ménggǔ	mông cổ	Mông Cổ
1530	4616	11.33	基督	基督	jīdū	cơ đốc	chúa cứu thế/chúa Giê-su/Cơ Đốc
1549	4683	11.13	皇上	皇上	huángshàng	hoàng thượng	Hoàng Thượng/hoàng thượng/Hoàng thượng/hoàng đế
1560	4714	11.05	太平洋	太平洋	tàipíngyáng	thái bình dương	Thái Bình Dương/Pacific Ocean
1563	4728	11.02	华侨	華僑	huáqiáo	hoa kiều	Hoa Kiều
1594	4846	10.74	徘徊	徘徊	páihuái	bồi hồi	bồi hồi/quanh quẩn một chỗ/lưỡng lự/chần chừ/Bồi hồi/quanh co không tiến lên được
1616	4950	10.5	状元	狀元	zhuàngyuán	trạng nguyên	Trạng Nguyên/trạng nguyên/người giỏi nhất/cao thủ/sư phụ
1632	5047	10.22	中原	中原	zhōngyuán	trung nguyên	Trung Nguyên/vùng Trung Nguyên
1635	5075	10.17	黑龙江	黑龍江	hēilóngjiāng	hắc long giang	Hắc Long Giang/sông Hắc Long Giang
1661	5203	9.84	丹麦	丹麥	dānmài	đan mạch	Đan Mạch/Denmark
1667	5228	9.79	太平	太平	tàipíng	thái bình	thái bình/BÌNH/bình yên/an ninh/Thái Bình/tỉnh Thái Bình
1693	5346	9.55	波兰	波蘭	bōlán	ba lan	Poland/Ba Lan
1740	5534	9.15	西湖	西湖	xīhú	tây hồ	Tây hồ
1758	5609	9.02	中秋	中秋	zhōngqīu	trung thu	Trung thu
1769	5653	8.93	二哥	二哥	èrgē	nhị ca	Nhị ca/nhị ca
1789	5735	8.8	北平	北平	běipíng	bắc bình	Bắc Bình
1826	5910	8.49	喃喃	喃喃	nánnán	nam nam	thì thào/rì rà rì rầm/lẩm bẩm/lẩm nhẩm/Nam nam/tiếng nói lầm rầm
1827	5911	8.48	恍惚	恍惚	huǎnghū	hoảng hốt	hoảng hốt/hốt hoảng/ngẩn ngơ/tựa như/hình như/không rõ/phảng phất/Hoảng hốt/thấy không đích xác
1832	5951	8.41	西洋	西洋	xīyáng	tây dương	Tây Dương/phương Tây
1839	5973	8.39	首相	首相	shǒuxiāng	thủ tướng	Thủ tướng/thủ tướng
1843	5982	8.38	金山	金山	jīnshān	kim sơn	Kim Sơn
1876	6185	7.98	火星	火星	huǒxīng	hỏa tinh	đốm lửa/Hỏa Tinh/hoả tinh/sao hoả/đốm lửa nhỏ
1908	6335	7.71	憔悴	憔悴	qiáocùi	tiều tụy	tiều tụy/tiền tuỵ/hốc hác/võ vàng/Tiều tụy/khốn khổ
1942	6497	7.49	洛阳	洛陽	luòyáng	lạc dương	Lạc Dương
1963	6576	7.38	法文	法文	fǎwén	pháp văn	Pháp Văn/tiếng Pháp
1965	6578	7.38	太原	太原	tàiyuán	thái nguyên	Thái Nguyên/tỉnh Thái Nguyên
1967	6580	7.37	金刚	金剛	jīngāng	kim cương	kim cương/Kim cang/lực sĩ Kim cang/hộ pháp/giòi
1985	6656	7.26	泰山	泰山	tàishān	thái sơn	thái sơn/Thái Sơn/núi Thái Sơn/bố vợ/cha vợ/ông nhạc
2005	6742	7.15	扬州	揚州	yángzhōu	dương châu	Dương Châu
2009	6755	7.13	超人	超人	chāorén	siêu nhân	siêu nhân/hơn người/vượt trội/ưu việt/thánh nhân/thánh sư/Lạt-ma/người đạo cao chức trọng/người được kính trọng
2015	6779	7.09	佛法	佛法	fófǎ	phật pháp	phật hiệu/Phật pháp/giáo lý Phật giáo/phép Phật/phép thuật của Phật
2043	6918	6.91	南非	南非	nánfēi	nam phi	Nam Phi/South Africa/Cộng hoà Nam Phi
2048	6943	6.87	明朝	明朝	míngzhāo	minh triều	Minh triều
2070	7042	6.76	金字塔	金字塔	jīnzìtǎ	kim tự tháp	Kim Tự Tháp/kim tự tháp
2074	7060	6.74	观音	觀音	guānyīn	quan âm	Quan Âm/Quan Thế Âm
2123	7256	6.5	曹操	曹操	cáocāo	tào tháo	Tào Tháo
2124	7261	6.5	北海	北海	běihǎi	bắc hải	bắc hải/đông bắc Đại Tây Dương/Bắc Hải/công viên Bắc Hải/biên khu bắc Trung Quốc/biển Bột Hải/hồ Baikal
2131	7306	6.45	神州	神州	shénzhōu	thần châu	Thần Châu
2153	7400	6.33	葡萄牙	葡萄牙	pútáoyá	bồ đào nha	Bồ Đào Nha/Portugal
2171	7517	6.2	华文	華文	huáwén	hoa văn	Hoa Văn/tiếng Hoa
2243	7912	5.82	平壤	平壤	píngrǎng	bình nhưỡng	Bình Nhưỡng/Pyongyang
2270	8036	5.69	汉奸	漢奸	hànjiān	hán gian	Hán gian/hán gian
2297	8234	5.51	冰雪	冰雪	bīngxuě	băng tuyết	băng tuyết/Băng Tuyết/thanh khiết
2325	8391	5.4	陈先生	陳先生	chénxiānshēng	trần tiên sinh	Trần tiên sinh
2327	8405	5.39	波斯	波斯	bōsī	ba tư	Ba Tư
2395	8783	5.07	京都	京都	jīngdū	kinh đô	kinh đô/kinh thành/Kinh Đô/Kyoto
2400	8805	5.06	华山	華山	huáshān	hoa sơn	Hoa Sơn
2446	9069	4.87	北欧	北歐	běiōu	bắc âu	Bắc Âu
2475	9229	4.75	天皇	天皇	tiānhuáng	thiên hoàng	thiên hoàng/Thiên Hoàng/thiên tử/vua
2493	9342	4.68	太极	太極	tàijí	thái cực	Thái Cực/thái cực
2501	9389	4.65	孙悟空	孫悟空	sūnwùkōng	tôn ngộ không	Tôn Ngộ Không
2512	9498	4.57	魔王	魔王	mówáng	ma vương	ma vương/Ma vương/ác quỷ/quỷ dữ/kẻ ác độc/kẻ hung bạo
2515	9519	4.56	鼓动	鼓動	gǔdòng	cổ động	cổ động/Cổ Động/quạt/vỗ cánh/khuyến khích/xúi giục/động viên
2526	9553	4.54	刘备	劉備	líubèi	lưu bị	Lưu Bị
2559	9685	4.47	三哥	三哥	sāngē	tam ca	Tam ca/tam ca
2589	9922	4.34	远东	遠東	yuǎndōng	viễn đông	Viễn Đông/vùng Viễn Đông
2595	9987	4.29	西欧	西歐	xīōu	tây âu	Tây Âu/miền tây Châu Âu
2599	9997	4.28	西域	西域	xīyù	tây vực	Tây Vực/Tây-vực/nước phía Tây
2620	10114	4.21	霸王	霸王	bàwáng	bá vương	bá vương/Bá Vương/kẻ cực kỳ thô bạo/kẻ ngang ngược
2644	10284	4.11	王爷	王爺	wángyé	vương gia	Vương gia/đức vua
2661	10415	4.04	天国	天國	tiānguó	thiên quốc	thiên quốc/Thiên Quốc/thiên đường/thế giới lý tưởng
2726	10868	3.78	李家	李家	lǐjiā	lý gia	Lý gia
2736	10965	3.73	宰相	宰相	zǎixiāng	tể tướng	Tể tướng/tể tướng/thừa tướng
2799	11338	3.57	金陵	金陵	jīnlíng	kim lăng	Kim Lăng
2813	11429	3.53	罗汉	羅漢	luōhàn	la hán	La Hán/la hán
2888	11883	3.33	总司令	總司令	zǒngsīlìng	tổng tư lệnh	Tổng tư lệnh/tổng tư lệnh
2906	11990	3.28	净土	淨土	jìngtǔ	tịnh thổ	Niết bàn/Tịnh thổ/thiên đường/chốn cực lạc/chốn bồng lai
2969	12421	3.13	青铜	青銅	qīngtóng	thanh đồng	Thanh Đồng/đồng thau/đồng đen
2971	12433	3.13	护法	護法	hùfǎ	hộ pháp	hộ pháp/bảo vệ Phật pháp/giữ gìn Phật Pháp/Hộ Pháp/người bảo vệ Phật pháp/bảo vệ quốc pháp
2990	12597	3.07	北极	北極	běijí	bắc cực	bắc cực/Bắc cực/cực Bắc
3002	12714	3.03	太守	太守	tàishǒu	thái thú	Thái Thú/thái thú
3018	12823	2.99	岳飞	岳飛	yuèfēi	nhạc phi	Nhạc Phi
3035	12960	2.95	九龙	九龍	jǐulóng	cửu long	Cửu Long/tỉnh Cửu Long
3090	13393	2.82	丞相	丞相	chéngxiāng	thừa tướng	Thừa tướng/thừa tướng/thủ tướng/chức quan giúp vua
3118	13565	2.76	佛祖	佛祖	fózǔ	phật tổ	Phật tổ
3130	13640	2.74	张飞	張飛	zhāngfēi	trương phi	Trương Phi
3168	13942	2.65	大宝	大寶	dàbǎo	đại bảo	đại bảo/ngôi hoàng đế/bảo bối/vật báu/Phật pháp/khối vàng
3192	14146	2.59	西天	西天	xītiān	tây thiên	Tây Thiên/thế giới cực lạc/cõi cực lạc
3218	14352	2.53	高丽	高麗	gāolì	cao ly	Cao Ly
3225	14464	2.5	江东	江東	jiāngdōng	giang đông	Giang Đông
3258	14738	2.43	关羽	關羽	guānyǔ	quan vũ	Quan Vũ/Quan Công/Quan Vân Trường
3259	14742	2.43	河内	河內	hénèi	hà nội	Hà Nội/TP Hà Nội/thủ đô Hà Nội
3264	14754	2.43	河东	河東	hédōng	hà đông	ĐÔNG/Hà Đông/tỉnh Hà Đông
3276	14816	2.41	江北	江北	jiāngběi	giang bắc	Giang Bắc/phía bắc Trường Giang
3284	14908	2.39	沙皇	沙皇	shāhuáng	sa hoàng	Sa Hoàng/Nga Hoàng
3290	14952	2.38	新教	新教	xīnjiào	tân giáo	đạo Tin Lành/giáo phái Tin Lành/Tân Giáo
3314	15165	2.33	惠州	惠州	hùizhōu	huệ châu	Huệ Châu
3438	16186	2.11	刘家	劉家	líujiā	lưu gia	Lưu gia
3456	16372	2.07	满洲	滿洲	mǎnzhōu	mãn châu	dân tộc Mãn Châu/Mãn Châu
3473	16552	2.03	御史	御史	yùshǐ	ngự sử	Ngự Sử
3514	16872	1.96	北非	北非	běifēi	bắc phi	Bắc Phi/Bắc Châu Phi
3515	16877	1.96	黄海	黃海	huánghǎi	hoàng hải	Hoàng Hải
3569	17245	1.9	蓬莱	蓬萊	pénglái	bồng lai	Bồng Lai/chốn Bồng Lai
3623	17744	1.8	万象	萬象	wànxiàng	vạn tượng	vạn vật/muôn vật/mọi vật/Vạn Tượng/Viêng Chăn/Vientiane
3633	17849	1.78	佛门	佛門	fómén	phật môn	phật môn/Phật giáo/cửa Phật/nhà Phật
3660	18063	1.74	皇太后	皇太后	huángtàihòu	hoàng thái hậu	hoàng thái hậu/Hoàng thái hậu/mẹ vua
3676	18244	1.71	阎王	閻王	yánwáng	diêm vương	diêm vương/Diêm vương/kẻ cực kỳ hung ác/cực kỳ tàn nhẫn
3717	18650	1.64	金牛	金牛	jīnníu	kim ngưu	Kim Ngưu
3743	18934	1.59	丐帮	丐幫	gàibāng	cái bang	Cái Bang
3745	18959	1.59	襄阳	襄陽	xiāngyáng	tương dương	Tương Dương
3747	18968	1.59	陈某	陳某	chénmǒu	trần mỗ	Trần mỗ
3762	19152	1.57	辽东	遼東	liáodōng	liêu đông	Liêu Đông
3836	20013	1.45	平定	平定	píngdìng	bình định	bình định/ĐỊNH/ổn định/yên ổn/dẹp yên/Bình Định/tỉnh Bình Định
3888	20671	1.36	李小龙	李小龍	lǐxiǎolóng	lý tiểu long	Lý Tiểu Long
3947	21234	1.29	北伐	北伐	běifá	bắc phạt	Bắc Phạt/quân bắc phạt
3972	21556	1.25	太尉	太尉	tàiwèi	thái úy	Thái úy/thái uý
3978	21667	1.23	南朝	南朝	nánzhāo	nam triều	nam triều/Nam Triều
3987	21744	1.22	红海	紅海	hónghǎi	hồng hải	Hồng Hải/Biển Đỏ/Red Sea
4020	22141	1.18	神农	神農	shénnóng	thần nông	Thần Nông
4088	23009	1.09	夏至	夏至	xiàzhì	hạ chí	Hạ Chí
4103	23140	1.08	花旗	花旗	huāqí	hoa kỳ	Hoa Kỳ/cờ Mỹ/Mỹ
4119	23356	1.06	天朝	天朝	tiānzhāo	thiên triều	Thiên triều/thiên triều
4124	23430	1.05	平阳	平陽	píngyáng	bình dương	Bình Dương/tỉnh Bình Dương
4163	23869	1.01	海防	海防	hǎifáng	hải phòng	PHÒNG/phòng thủ trên biển/phòng thủ bờ biển/tuần phòng bờ biển/Hải Phòng/TP. Hải Phòng
4193	24265	0.97	水师	水師	shǔishī	thủy sư	Thủy sư/thủy sư/thuỷ quân
4268	25618	0.86	赤壁	赤壁	chìbì	xích bích	Xích Bích/trận Xích Bích
4273	25671	0.85	刘将军	劉將軍	líujiāngjūn	lưu tướng quân	Lưu tướng quân
4280	25810	0.84	木星	木星	mùxīng	mộc tinh	sao Mộc/Mộc tinh
4291	25939	0.83	圣上	聖上	shèngshàng	thánh thượng	Thánh Thượng/thánh thượng/hoàng đế
4319	26296	0.8	白莲	白蓮	báilián	bạch liên	Bạch Liên
4352	26812	0.76	驸马	駙馬	fùmǎ	phò mã	Phò mã/phò mã/rể vua
4377	27178	0.74	玉皇大帝	玉皇大帝	yùhuángdàdì	ngọc hoàng đại đế	Ngọc Hoàng đại đế/Ngọc hoàng đại đế
4404	27553	0.71	司徒	司徒	sītú	tư đồ	Tư Đồ/họ Tư Đồ/tư đồ/chủ về việc coi các dân chúng
4418	27749	0.7	西非	西非	xīfēi	tây phi	Tây Phi/miền Tây Châu Phi
4443	28090	0.68	中州	中州	zhōngzhōu	trung châu	Trung Châu
4467	28512	0.65	北冰洋	北冰洋	běibīngyáng	bắc băng dương	Bắc Băng Dương/Arctic Ocean
4473	28556	0.65	罗宾	羅賓	luōbīn	la tân	La Tân
4488	28782	0.64	南欧	南歐	nánōu	nam âu	Nam Âu
