rank	frequency	word	pinyin	traditional	hanviet
572.0	167.56	山	shān	山	san, sơn
584.0	164.8	the	the	the	
587.0	163.8	德	dé	德	đức
589.0	163.63	接	jiē	接	tiếp
607.0	159.37	国	guó	國	quốc
610.0	159.26	风	fēng	風	phong
613.0	158.22	白	bái	白	bạch
620.0	156.07	约	yuē	約	ước
624.0	154.95	香港	xiānggǎng	香港	hương cảng
625.0	154.85	报	bào	報	báo
628.0	154.62	男	nán	男	nam
652.0	149.46	双	shuāng	雙	song
660.0	148.14	金	jīn	金	kim
667.0	147.03	转	zhuǎn	轉	chuyến, chuyển
668.0	146.92	班	bān	班	ban
676.0	144.18	区	qū	區	khu, âu
680.0	143.63	东	dōng	東	đông
682.0	143.13	主	zhǔ	主	chủ
683.0	143.12	歌	gē	歌	ca
692.0	142.17	王	wáng	王	vượng, vương
705.0	139.52	词	cí	詞	từ
710.0	137.7	气	qì	气	khí, khất
713.0	137.2	留	líu	留	lưu
720.0	136.8	重	zhòng	重	trọng, trùng
729.0	135.7	唱	chàng	唱	xướng
737.0	132.98	神	shén	神	thần
744.0	130.98	to	to	to	
747.0	130.7	辆	liàng	輛	lượng
748.0	130.59	项	xiàng	項	hạng
755.0	129.51	城	chéng	城	thành
756.0	129.48	网友	wǎngyǒu	網友	võng hữu
758.0	128.9	包	bāo	包	bao
763.0	128.32	光	guāng	光	quang
766.0	127.95	期	qī	期	ky, kì, kỳ
768.0	127.9	com	com	com	
785.0	124.31	经	jīng	經	kinh
790.0	123.95	A	A	A	
792.0	123.05	提	tí	提	thì, để, đề
799.0	122.56	课	kè	課	khóa
801.0	122.31	功	gōng	功	công
806.0	121.34	掉	diào	掉	trạo, điệu
812.0	120.52	线	xiàn	線	tuyến
827.0	117.85	深	shēn	深	thâm
841.0	116.35	情	qíng	情	tình
846.0	116.1	共	gòng	共	cung, cộng
848.0	115.89	试	shì	試	thí
850.0	115.75	林	lín	林	lâm
852.0	115.64	原	yuán	原	nguyên
867.0	113.36	身	shēn	身	thân, quyên
869.0	113.05	利	lì	利	lợi
873.0	112.64	组	zǔ	組	tổ
878.0	111.87	村	cūn	村	thôn
879.0	111.81	级	jí	級	cấp
882.0	111.35	a	a	a	
884.0	110.97	明	míng	明	minh
887.0	110.92	语	yǔ	語	ngứ, ngữ
889.0	110.8	方	fāng	方	phương
895.0	110.48	of	of	of	
899.0	109.88	雨	yǔ	雨	vú, vũ
909.0	109.18	忘	wàng	忘	vong
920.0	108.46	鱼	yú	魚	ngư
922.0	108.04	管	guǎn	管	quản
923.0	107.8	房	fáng	房	bàng, phòng
924.0	107.65	阵	zhèn	陣	trận
925.0	107.62	市	shì	市	thị
926.0	107.48	师	shī	師	sư
927.0	107.27	南	nán	南	nam
930.0	107.02	满	mǎn	滿	mãn
935.0	106.79	北	běi	北	bắc
936.0	106.44	常	cháng	常	thường
944.0	105.67	静	jìng	靜	tĩnh
949.0	105.18	周	zhōu	週	chu
951.0	105.06	※	※	※	
952.0	105.02	封	fēng	封	phong
953.0	104.96	热	rè	熱	nhiệt
965.0	104.04	式	shì	式	thức
967.0	103.89	杀	shā	殺	sát, tát, sái
971.0	103.73	易	yì	易	dịch, dị
972.0	103.5	梦	mèng	咪	mễ, mộng, mị, mông
973.0	103.39	笔	bǐ	筆	bút
981.0	102.75	客	kè	客	khách
983.0	102.57	反	fǎn	反	phiên, phản
986.0	102.37	言	yán	言	ngân, ngôn
987.0	102.24	系	xì	係	hệ
991.0	102.13	雪	xuě	雪	tuyết
994.0	101.77	夫	fū	夫	phù, phu
1004.0	101.14	晚	wǎn	晚	vãn
1006.0	100.86	│	│	│	
1018.0	99.92	度	dù	度	đạc, độ
1019.0	99.75	布	bù	佈	bố
1021.0	99.71	下载	xiàzài	下載	hạ tái, hạ tại, hạ tải, há tái, há tại, há tải
1023.0	99.67	龙	lóng	龍	long, sủng
1025.0	99.61	★	★	★	
1029.0	99.4	派	pài	派	phái
1043.0	97.83	I	I	I	
1044.0	97.77	般	bān	般	bát, ban, bàn
1051.0	97.34	博	bó	博	bác
1058.0	96.55	B	B	B	
1060.0	96.47	通	tōng	通	thông
1064.0	96.26	英	yīng	英	anh
1065.0	96.19	洗	xǐ	洗	tiển, tẩy
1069.0	95.77	width	width	width	
1078.0	95.26	诗	shī	詩	thi
1089.0	94.09	章	zhāng	章	chương
1092.0	93.96	修	xīu	修	tu
1095.0	93.4	贵	gùi	貴	quý
1097.0	93.27	省	shěng	省	tỉnh
1098.0	93.27	法轮	fǎlún	法輪	pháp luân
1100.0	93.05	批	pī	批	phê
1104.0	93.01	选	xuǎn	選	tuyến, tuyển
1106.0	92.79	猫	māo	貓	miêu
1109.0	92.58	李	lǐ	李	lí, lý
1112.0	92.14	古	gǔ	古	cổ
1117.0	91.34	格	gé	格	các, cách
1123.0	91.13	力	lì	力	lực
1124.0	91.11	软件	ruǎnjiàn	軟件	nhuyễn kiện
1125.0	91.1	蓝	lán	藍	lam
1132.0	90.69	化	huà	化	hóa
1135.0	90.48	哈	hā	哈	cáp
1147.0	89.87	费	fèi	費	phí, bỉ
1151.0	89.36	è	è	è	
1153.0	89.31	店	diàn	店	điếm
1155.0	89.2	云	yún	雲	vân
1166.0	88.53	集	jí	集	tập
1174.0	88.07	→	→	→	
1189.0	86.96	亚	yà	亞	á
1200.0	85.78	票	piào	票	phiêu, tiêu, phiếu
1206.0	85.5	答	dá	答	đáp
1215.0	84.32	中共	zhōnggòng	中共	trúng cung, trúng cộng, trung cung, trung cộng
1220.0	83.57	C	C	C	
1221.0	83.53	in	in	in	
1224.0	83.41	树	shù	樹	thụ
1228.0	83.03	仅	jǐn	僅	cận
1231.0	82.91	and	and	and	
1232.0	82.72	石	shí	石	thạch
1235.0	82.65	火	huǒ	火	hỏa
1236.0	82.56	雅	yǎ	雅	nhã
1237.0	82.48	血	xiě	血	huyết
1245.0	82.01	意	yì	意	ý
1272.0	80.93	党	dǎng	党	đảng
1277.0	80.68	华	huá	譁	hoa, hóa
1282.0	80.11	球	qíu	球	cầu
1285.0	79.84	表	biǎo	錶	biểu
1286.0	79.79	星	xīng	星	tinh
1288.0	79.66	民	mín	民	dân
1293.0	79.05	\	\	\	
1296.0	78.89	刀	dāo	刀	đao
1302.0	78.67	尼	ní	尼	nặc, nệ, nật, ni
1308.0	78.52	黄	huáng	黃	hoàng
1314.0	78.02	screen	screen	screen	
1331.0	76.74	帖	tiē	帖	thiếp, điểm
1333.0	76.66	超	chāo	超	siêu
1339.0	76.35	落	luò	落	lạc
1342.0	76.15	曰	yuē	曰	viết
1345.0	76.04	％	％	％	
1348.0	75.86	品牌	pǐnpái	品牌	phẩm bài
1358.0	75.53	查	chá	查	tra
1363.0	75.1	型	xíng	型	hình
1370.0	74.74	韩国	hánguó	韓國	hàn quốc
1375.0	74.48	哥	gē	哥	ca
1382.0	74.23	假	jiǎ	假	giả, giá
1385.0	74.15	船	chuán	船	thuyền
1386.0	74.15	破	pò	破	phá
1390.0	73.78	奥	ào	奧	úc, áo
1391.0	73.73	茶	chá	茶	trà
1394.0	73.41	现	xiàn	現	hiện
1397.0	73.32	挂	guà	掛	quải
1399.0	73.07	纳	nà	納	nạp
1402.0	72.87	福	fú	福	phúc
1403.0	72.86	you	you	you	
1405.0	72.76	音	yīn	音	âm
1408.0	72.61	春	chūn	春	xuân
1418.0	72.24	链	liàn	鏈	luyện, liên
1425.0	71.91	电	diàn	電	điện
1426.0	71.78	this	this	this	
1432.0	71.6	建	jiàn	建	kiến, kiển
1434.0	71.52	合	hé	合	hợp, cáp
1437.0	71.41	短	duǎn	短	đoản
1440.0	71.33	青	qīng	青	thanh
1452.0	70.85	军	jūn	軍	quân
1457.0	70.64	立	lì	立	lập
1462.0	70.33	呆	dāi	騃	ngãi, ngai, ngốc
1465.0	70.2	苦	kǔ	苦	khổ
1468.0	70.12	番	fān	番	ba, phiên, bà, phan
1471.0	69.93	奇	qí	奇	kì, cơ
1472.0	69.91	盘	pán	盤	bàn
1474.0	69.8	物	wù	物	vật
1478.0	69.65	www	www	www	
1486.0	69.43	思	sī	思	tư, tai, tứ
1492.0	69.11	量	liàng	量	lương, lượng
1493.0	69.04	命	mìng	命	mệnh
1499.0	68.74	鸟	niǎo	鳥	điểu
1501.0	68.64	伊	yī	伊	y
1507.0	68.33	届	jiè	屆	giới
1510.0	67.9	药	yào	藥	ước, điếu, dược
1520.0	67.51	县	xiàn	縣	huyền, huyện
1525.0	67.26	乐	lè	樂	nhạc, lạc, nhạo
1530.0	67.11	牛	níu	牛	ngưu
1536.0	66.79	塔	tǎ	塔	tháp
1538.0	66.62	平	píng	平	bình, biền
1542.0	66.45	款	kuǎn	款	khoản
1545.0	66.38	剑	jiàn	劍	kiếm
1547.0	66.37	D	D	D	
1548.0	66.31	友	yǒu	友	hữu
1552.0	66.21	麽	mo	麽	ma
1557.0	65.89	nbsp	nbsp	nbsp	
1561.0	65.75	桥	qiáo	橋	cao, khiêu, kiều
1571.0	65.32	招	zhāo	招	chiêu, thiêu, thiều
1575.0	65.06	／	／	／	
1576.0	65.04	游	yóu	遊	du
1579.0	64.83	s	s	s	
1580.0	64.78	安	ān	安	an
1597.0	63.96	京	jīng	京	kinh
1617.0	63.38	猪	zhū	豬	trư
1634.0	62.79	君	jūn	君	quân
1639.0	62.34	铁	tiě	鐵	thiết
1641.0	62.31	体	tǐ	體	thể
1644.0	62.22	团	tuán	糰	đoàn
1646.0	62.11	维	wéi	維	duy
1649.0	61.96	也就是	yějìushì	也就是	dã tựu thị
1651.0	61.89	丽	lì	麗	ly, lệ
1659.0	61.77	商	shāng	商	thương
1661.0	61.71	土	tǔ	土	đỗ, độ, thổ
1662.0	61.67	恩	ēn	恩	ân
1673.0	61.33	毛泽东	máozédōng	毛澤東	mao trạch đông, mô trạch đông
1675.0	61.28	é	é	é	
1676.0	61.24	甲	jiǎ	甲	giáp
1678.0	61.21	≈	≈	≈	
1680.0	60.97	於	yú	於	ư, hu, ô, vu
1682.0	60.9	毛	máo	毛	mao, mô
1683.0	60.89	校	xiào	校	giáo, hiệu, hào
1690.0	60.71	鬼	gǔi	鬼	quỷ
1692.0	60.66	官	guān	官	quan
1694.0	60.49	冰	bīng	冰	băng
1698.0	60.33	浪	làng	浪	lãng, lang
1700.0	60.25	灯	dēng	燈	đăng
1701.0	60.14	刘	líu	劉	lưu
1706.0	60.04	牌	pái	牌	bài
1707.0	60.04	科	kē	科	khoa
1723.0	59.45	诺	nuò	諾	nặc
1726.0	59.4	留学生	líuxuéshēng	留學生	lưu học sanh, lưu học sinh
1727.0	59.39	板	bǎn	板	bản
1731.0	59.26	汉	hàn	漢	hán
1733.0	59.2	◆	◆	◆	
1735.0	59.07	by	by	by	
1753.0	58.47	养	yǎng	養	dượng, dưỡng
1764.0	58.07	深圳	shēnzhèn	深圳	thâm quyến
1765.0	58.03	is	is	is	
1766.0	57.98	镇	zhèn	鎮	trấn
1768.0	57.93	公	gōng	公	công
1775.0	57.62	制	zhì	制	chế
1779.0	57.55	觉	jué	覺	giác, giáo
1781.0	57.43	全文	quánwén	全文	toàn văn, toàn vấn
1791.0	57.15	底	dǐ	底	để
1792.0	57.11	除	chú	除	trừ
1794.0	57.03	供	gōng	供	cung
1795.0	57.01	吉	jí	吉	cát
1796.0	56.97	岛	dǎo	島	đảo
1798.0	56.91	河	hé	河	hà
1804.0	56.77	玉	yù	玉	ngọc, túc
1806.0	56.7	堂	táng	堂	đường
1808.0	56.63	一部分	yībùfēn	一部分	nhất bộ phận, nhất bộ phân
1811.0	56.61	战	zhàn	戰	chiến
1813.0	56.6	乘	chéng	乘	thặng, thừa
1820.0	56.4	寄	jì	寄	kí
1821.0	56.34	PM	PM	PM	
1836.0	55.94	印	yìn	印	ấn
1849.0	55.66	在线	zàixiàn	在線	tại tuyến
1852.0	55.61	瓶	píng	瓶	bình
1856.0	55.29	●	●	●	
1861.0	55.14	佛	fó	佛	phật, phất
1866.0	54.71	救	jìu	救	cứu
1867.0	54.71	北大	běidà	北大	bắc đại, bắc thái
1870.0	54.66	田	tián	田	điền
1873.0	54.44	恨	hèn	恨	hận
1874.0	54.43	×	×	×	
1876.0	54.33	园	yuán	園	viên
1878.0	54.26	盖	gài	蓋	cái
1879.0	54.23	叶	yè	葉	diệp, hiệp
1883.0	54.04	影	yǐng	影	ảnh
1884.0	54.04	陈	chén	陳	trần, trận
1889.0	53.97	研	yán	研	nghiên
1892.0	53.94	队	dùi	隊	đội
1894.0	53.91	伤	shāng	傷	thương
1895.0	53.86	汤	tāng	湯	sương, thang, thãng
1901.0	53.67	注	zhù	注	chú
1902.0	53.63	├	├	├	
1903.0	53.62	品	pǐn	品	phẩm
1907.0	53.48	轮	lún	輪	luân
1917.0	53.28	莫	mò	莫	bá, mạch, mộ, mạc
1919.0	53.19	鞋	xié	鞋	hài
1920.0	53.13	故	gù	故	cố
1921.0	53.11	史	shǐ	史	sử
1930.0	52.89	^	^	^	
1937.0	52.73	秀	xìu	秀	tú
1941.0	52.64	江	jiāng	江	giang
1943.0	52.61	兵	bīng	兵	binh
1949.0	52.45	男孩	nánhái	男孩	nam hài
1950.0	52.42	调	diào	調	điều, điệu
1957.0	52.24	器	qì	器	khí
1963.0	52.15	罗	luō	羅	la
1966.0	52.08	凡	fán	凡	phàm
1973.0	51.9	依	yī	依	ỷ, y
1974.0	51.85	绿	lv̀	綠	lục
1976.0	51.83	右	yòu	右	hữu
1979.0	51.77	醒	xǐng	醒	tỉnh
1989.0	51.62	然	rán	然	nhiên
1992.0	51.48	氏	shì	氏	chi, thị
1996.0	51.45	基	jī	基	cơ
1997.0	51.45	善	shàn	善	thiến, thiện
2009.0	51.11	练	liàn	練	luyện
2010.0	51.09	工	gōng	工	công
2013.0	51.02	评	píng	評	bình
2019.0	50.82	―	―	―	
2020.0	50.8	权	quán	權	quyền
2022.0	50.75	货	huò	貨	hóa
2026.0	50.71	隔	gé	隔	cách
2028.0	50.68	喜	xǐ	喜	hí, hỉ
2031.0	50.62	圣	shèng	聖	thánh
2033.0	50.6	姆	mǔ	姆	mỗ
2034.0	50.59	演	yǎn	演	diễn
2035.0	50.4	细	xì	細	tế
2037.0	50.37	犯	fàn	犯	phạm
2039.0	50.33	专辑	zhuānjí	專輯	chuyên tập
2044.0	50.32	义	yì	義	nghĩa
2045.0	50.32	证	zhèng	證	chứng
2047.0	50.29	沙	shā	沙	sa, sá
2056.0	50.07	户	hù	戶	hộ
2057.0	50.06	凭	píng	憑	bẵng, bằng
2062.0	49.96	『	『	『	
2065.0	49.92	士	shì	士	sĩ
2069.0	49.79	日本人	rìběnrén	日本人	nhật bổn nhân, nhật bản nhân
2070.0	49.78	松	sōng	松	tông, tùng
2073.0	49.75	赴	fù	赴	phó
2074.0	49.74	』	』	』	
2075.0	49.71	莱	lái	萊	lai
2079.0	49.52	须	xū	須	tu
2087.0	49.37	衣	yī	衣	ý, y
2090.0	49.08	幅	fú	幅	phúc, bức
2094.0	48.97	属	shǔ	屬	thuộc, chúc, chú
2096.0	48.94	味	wèi	味	vị
2116.0	48.53	业	yè	業	nghiệp
2117.0	48.52	迷	mí	迷	mê
2118.0	48.51	搭	dā	搭	đáp
2121.0	48.4	普	pǔ	普	phổ
2126.0	48.32	曼	màn	曼	mạn, man
2129.0	48.21	案	àn	案	án
2132.0	48.15	社区	shèqū	社區	xã khu, xã âu
2136.0	48.09	保	bǎo	保	bảo
2140.0	48.03	恶	è	惡	ố, ác, ô
2148.0	47.84	兰	lán	蘭	lan
2149.0	47.82	塞	sāi	塞	tái, tắc
2152.0	47.69	丁	dīng	丁	chênh, đinh
2155.0	47.65	威	wēi	威	uy
2157.0	47.62	斤	jīn	斤	cân, cấn
2160.0	47.59	The	The	The	
2162.0	47.52	夏	xià	夏	giạ, hạ, giá
2169.0	47.36	颇	pǒ	頗	phả, pha
2170.0	47.34	挤	jǐ	擠	tễ, tê
2177.0	47.13	断	duàn	斷	đoạn, đoán
2182.0	47.07	愿	yuàn	願	nguyện
2184.0	46.97	舞	wǔ	舞	vũ
2185.0	46.96	短信	duǎnxìn	短信	đoản tín
2190.0	46.89	设	shè	設	thiết
2194.0	46.79	例	lì	例	lệ
2196.0	46.74	寺	sì	寺	tự
2201.0	46.7	虎	hǔ	虎	hổ
2203.0	46.67	屋	wū	屋	ốc
2205.0	46.63	样	yáng	樣	dạng
2207.0	46.57	库	kù	庫	khố
2214.0	46.44	洛	luò	洛	lạc
2223.0	46.26	曲	qū	曲	khúc
2225.0	46.21	秋	qīu	鞦	thu
2230.0	46.12	晴	qíng	晴	tình
2246.0	45.75	素	sù	素	tố
2247.0	45.74	众	zhòng	眾	chúng
2248.0	45.72	苏	sū	蘇	tô
2251.0	45.66	形	xíng	形	hình
2252.0	45.65	北京市	běijīngshì	北京市	bắc kinh thị
2261.0	45.4	丢	dīu	丟	đâu
2273.0	45.23	朵	duǒ	朵	đóa
2284.0	44.94	银	yín	銀	ngân
2286.0	44.88	原创	yuánchuàng	原創	nguyên sáng, nguyên sang
2287.0	44.87	弗	fú	弗	phất
2293.0	44.79	闹	nào	鬧	nháo, náo
2294.0	44.77	志	zhì	誌	chí
2296.0	44.74	＝	＝	＝	
2297.0	44.73	墙	qiáng	牆	tường
2307.0	44.44	日语	rìyǔ	日語	nhật ngứ, nhật ngữ
2309.0	44.43	软	ruǎn	軟	nhuyễn
2311.0	44.34	圆	yuán	圓	viên
2322.0	44.13	运	yùn	運	vận
2331.0	44.01	略	lvè	略	lược
2334.0	43.99	佳	jiā	佳	giai
2337.0	43.96	富	fù	富	phú
2344.0	43.9	补	bǔ	補	bổ
2347.0	43.83	宫	gōng	宮	cung
2352.0	43.73	羊	yáng	羊	dương
2353.0	43.72	新华	xīnhuá	新華	tân hoa, tân hóa
2357.0	43.68	☆	☆	☆	
2363.0	43.37	居	jū	居	cư, kí
2369.0	43.22	环	huán	環	hoàn
2372.0	43.09	伯	bó	伯	bá
2377.0	43.02	存	cún	存	tồn
2380.0	42.97	遭	zāo	遭	tao
2389.0	42.86	E	E	E	
2396.0	42.68	编	biān	編	biên
2399.0	42.66	解	jiě	解	giải, giái, giới
2403.0	42.55	阳	yáng	陽	dương
2404.0	42.55	硬	yìng	硬	ngạnh
2409.0	42.42	魔	mó	魔	ma
2412.0	42.41	脱	tuō	脫	đoái, thoát
2413.0	42.39	欧	ōu	歐	âu, ẩu
2415.0	42.39	灵	líng	靈	linh
2419.0	42.36	收费	shōufèi	收費	thu phí, thu bỉ, thú phí, thú bỉ
2425.0	42.3	胜	shèng	勝	thắng, thăng
2427.0	42.27	狼	láng	狼	lang
2429.0	42.24	露	lù	露	lộ
2442.0	42.05	册	cè	冊	sách
2443.0	42.05	爸	bà	爸	ba
2448.0	41.98	寒	hán	寒	hàn
2449.0	41.98	精	jīng	精	tinh
2450.0	41.94	｜	｜	｜	
2453.0	41.9	迪	dí	迪	địch
2457.0	41.85	糖	táng	糖	đường
2460.0	41.77	界	jiè	界	giới
2473.0	41.55	n	n	n	
2474.0	41.55	守	shǒu	守	thú, thủ
2478.0	41.5	登	dēng	登	đăng
2479.0	41.5	载	zài	載	tái, tại, tải
2490.0	41.28	逼	bī	逼	bức
2498.0	41.09	恋	liàn	戀	luyến
2513.0	40.82	苏联	sūlián	蘇聯	tô liên
2524.0	40.6	泪	lèi	淚	lệ
2526.0	40.56	①	①	①	
2535.0	40.39	混	hùn	混	cổn, hỗn
2538.0	40.29	晓	xiǎo	曉	hiểu
2542.0	40.2	摇	yáo	搖	diêu
2549.0	40.03	穷	qióng	窮	cùng
2569.0	39.81	付	fù	付	phó
2575.0	39.71	联	lián	聯	liên
2583.0	39.57	散	sàn	散	tán, tản
2589.0	39.44	趟	tàng	蹚	thảng, thang, tranh
2590.0	39.44	QQ	QQ	QQ	
2594.0	39.41	讯	xùn	訊	tấn
2595.0	39.39	竹	zhú	竹	trúc
2596.0	39.35	杰	jié	傑	kiệt
2597.0	39.35	哎	āi	哎	ai
2600.0	39.31	馆	guǎn	館	quán
2602.0	39.24	紫	zǐ	紫	tử
2604.0	39.2	for	for	for	
2605.0	39.2	AM	AM	AM	
2607.0	39.11	粉	fěn	粉	phấn
2608.0	39.1	源	yuán	源	nguyên
2609.0	39.1	录	lù	錄	lục
2612.0	38.95	州	zhōu	州	châu
2613.0	38.94	独	dú	獨	độc
2614.0	38.93	治	zhì	治	trị, trì
2615.0	38.93	炒	chǎo	炒	sao
2620.0	38.89	■	■	■	
2622.0	38.84	IP	IP	IP	
2624.0	38.75	结	jié	結	kết
2632.0	38.59	兼	jiān	兼	kiêm
2634.0	38.52	娜	nuó	娜	na
2635.0	38.51	湖	hú	湖	hồ
2640.0	38.38	罪	zùi	罪	tội
2641.0	38.35	告	gào	告	cáo
2648.0	38.17	午	wǔ	午	ngọ
2653.0	38.06	玛	mǎ	瑪	mã
2654.0	38.06	乡	xiāng	鄉	hương
2656.0	38.03	尚	shàng	尚	thượng
2658.0	37.99	at	at	at	
2659.0	37.96	争	zhēng	爭	tránh, tranh
2660.0	37.93	造	zào	造	tạo, tháo (11 n)
2663.0	37.9	阴	yīn	陰	âm
2669.0	37.84	译	yì	譯	dịch
2674.0	37.77	典	diǎn	典	điển
2681.0	37.67	い	い	い	
2685.0	37.54	实	shí	實	thật
2687.0	37.48	怀	huái	懷	hoài
2688.0	37.45	冬	dōng	鼕	đông
2693.0	37.32	韩	hán	韓	hàn
2695.0	37.31	蒙	méng	懞	mông
2696.0	37.26	甚	shén	甚	thậm
2697.0	37.26	专	zhuān	專	chuyên
2704.0	37.13	刻	kè	刻	khắc
2705.0	37.12	礼	lǐ	禮	lễ
2706.0	37.12	瑞	rùi	瑞	thụy
2712.0	37.05	码	mǎ	碼	mã
2714.0	37.04	复	fù	復	phúc, phục, phức
2716.0	37.03	投	tóu	投	đầu
2728.0	36.91	洞	dòng	洞	đỗng, động
2732.0	36.87	□	□	□	
2738.0	36.79	齐	qí	齊	tư, tề, trai
2741.0	36.71	野	yě	野	dã
2748.0	36.63	族	zú	族	tộc
2753.0	36.54	速	sù	速	tốc
2759.0	36.43	折	zhé	摺	lạp, triệp, chiết, đề
2765.0	36.35	仙	xiān	僊	tiên
2766.0	36.34	熟	shú	熟	thục
2769.0	36.31	扣	kòu	扣	khẩu, khấu
2770.0	36.31	烦	fán	煩	phiền
2771.0	36.28	切	qiē	切	thế, thiết
2773.0	36.28	俄	é	俄	nga
2774.0	36.27	果	guǒ	果	quả
2777.0	36.2	全世界	quánshìjiè	全世界	toàn thế giới
2778.0	36.18	社	shè	社	xã
2784.0	36.1	叹	tàn	歎	thán
2786.0	36.09	杨	yáng	楊	dương
2794.0	35.99	［	［	［	
2804.0	35.88	Re	Re	Re	
2810.0	35.77	on	on	on	
2824.0	35.62	劲	jìng	勁	kính
2834.0	35.43	天津	tiānjīn	天津	thiên tân
2837.0	35.39	每月	měiyuè	每月	mỗi nguyệt, môi nguyệt
2845.0	35.27	猛	měng	猛	mãnh
2847.0	35.24	萨	sà	薩	tát
2848.0	35.23	绝	jué	絕	tuyệt
2850.0	35.17	展	zhǎn	展	triển
2851.0	35.17	某个	mǒugè	某個	mỗ cá
2853.0	35.13	菲	fēi	菲	phi, phỉ
2861.0	35.01	弹	dàn	彈	đàn, đạn
2867.0	34.87	薄	bó	薄	bạc, bác
2872.0	34.83	文革	wéngé	文革	văn cức, văn cách, vấn cức, vấn cách
2876.0	34.72	透	tòu	透	thấu
2883.0	34.55	斗	dǒu	斗	đẩu, đấu
2888.0	34.5	铺	pū	鋪	phô, phố
2893.0	34.45	免	miǎn	免	miễn, vấn
2894.0	34.44	艾	ài	艾	ngải, nghệ
2900.0	34.33	眉	méi	眉	my, mi
2921.0	34.09	互联网	hùliánwǎng	互聯網	hỗ liên võng
2925.0	34.01	惊	liáng	驚	kinh
2926.0	33.99	丹	dān	丹	đan
2927.0	33.99	S	S	S	
2936.0	33.91	凤	fèng	鳳	phượng
2939.0	33.89	状	zhuàng	狀	trạng
2945.0	33.79	乙	yǐ	乙	ất
2950.0	33.72	M	M	M	
2959.0	33.62	备	bèi	備	bị
2961.0	33.61	顺	shùn	順	thuận
2965.0	33.55	母	mǔ	母	mẫu
2968.0	33.52	西安	xīān	西安	tây an, tê an
2970.0	33.48	局	jú	局	cục
2981.0	33.36	降	jiàng	降	hàng, giáng
2987.0	33.28	G	G	G	
2992.0	33.24	＂	＂	＂	
3002.0	33.03	脑	nǎo	腦	não
3011.0	32.86	警	jǐng	警	cảnh
3015.0	32.82	＊	＊	＊	
